,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
0,3999,1.9321305751800537,1.1434460878372192,0.5681023597717285,1.9825114011764526,1.9890637397766113,2.0600762367248535,1.1539483070373535,0.6178125739097595,2.1110405921936035,2.0843400955200195,2.1113626956939697,2.1454312801361084,1.1667063236236572,1.1731070280075073,0.6319044232368469,0.6423860192298889,2.164649724960327,2.1843700408935547,2.1390230655670166,2.1561779975891113,0,0.0,0.03999999910593033,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
1,7999,1.8960926532745361,1.086458683013916,0.5237672924995422,1.9636082649230957,1.9008300304412842,2.0279226303100586,1.1115851402282715,0.5815770030021667,2.0880439281463623,2.022045612335205,2.082854747772217,2.1182000637054443,1.119874358177185,1.1256000995635986,0.6072677373886108,0.611423134803772,2.1421871185302734,2.159562587738037,2.0910282135009766,2.1227638721466064,0,0.0,0.03999999910593033,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
2,11999,1.8768686056137085,1.0101622343063354,0.49716395139694214,1.9546232223510742,1.7775133848190308,2.007194757461548,1.06209397315979,0.5614957809448242,2.0713906288146973,1.9481284618377686,2.0652527809143066,2.104292392730713,1.0803346633911133,1.089872121810913,0.5982775688171387,0.6023353338241577,2.127016544342041,2.140570878982544,2.033688545227051,2.063107967376709,0,0.0,0.029999999329447746,0,0.0,0,0,0.009999999776482582,0,0,0,0,0,0,0.0,0.0,0,0,0,0
3,15999,1.864047884941101,0.8139679431915283,0.48792538046836853,1.9500706195831299,1.553430438041687,1.9995158910751343,0.9267659783363342,0.5487672686576843,2.0711984634399414,1.7702305316925049,2.056882381439209,2.0989198684692383,0.9769654273986816,0.9929761290550232,0.5826570987701416,0.5923212766647339,2.127815008163452,2.142123222351074,1.887935757637024,1.924257516860962,0,0.0,0.05999999865889549,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
4,19999,1.8619606494903564,0.5622227191925049,0.48857367038726807,1.9468684196472168,1.0700162649154663,1.995731234550476,0.715304434299469,0.5495628118515015,2.068300724029541,1.3850418329238892,2.0538816452026367,2.0966529846191406,0.8129364848136902,0.8494030237197876,0.5843232870101929,0.5932661294937134,2.1260955333709717,2.1424050331115723,1.5839893817901611,1.6598026752471924,0,0.0,0.019999999552965164,0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
5,23999,1.8640612363815308,0.4121079742908478,0.4880744516849518,1.947434663772583,0.7961445450782776,2.0059969425201416,0.5791385769844055,0.5476276278495789,2.0691113471984863,1.1104716062545776,2.0656533241271973,2.1095664501190186,0.6995534300804138,0.7495547533035278,0.5852071642875671,0.5993462800979614,2.133695602416992,2.1513326168060303,1.3548800945281982,1.4646934270858765,0,0.019999999552965164,0.009999999776482582,0,0.009999999776482582,0,0,0.009999999776482582,0,0,0,0,0,0,0.0,0.0,0,0,0,0
6,27999,1.8595255613327026,0.29612624645233154,0.48652932047843933,1.9447718858718872,0.617199182510376,2.001202344894409,0.47268086671829224,0.547986626625061,2.062438488006592,0.9064128398895264,2.062678813934326,2.1013083457946777,0.6161522269248962,0.673170268535614,0.5876878499984741,0.6015596985816956,2.123687982559204,2.143075466156006,1.1778607368469238,1.299323320388794,0,0.12999999523162842,0.05000000074505806,0,0.05999999865889549,0,0,0.009999999776482582,0,0,0,0,0,0,0.0,0.0,0,0,0,0
7,31999,1.863092303276062,0.21195954084396362,0.4836975336074829,1.9437068700790405,0.5117160081863403,2.0020089149475098,0.38304218649864197,0.543317437171936,2.06107759475708,0.7758252620697021,2.067166805267334,2.104851007461548,0.5392858982086182,0.5985466837882996,0.5841476321220398,0.6006384491920471,2.1235926151275635,2.142361640930176,1.0545481443405151,1.1779156923294067,0,0.1599999964237213,0.05000000074505806,0,0.05000000074505806,0,0,0.0,0,0,0,0,0,0,0.009999999776482582,0.0,0,0,0,0
8,35999,1.8422092199325562,0.17279306054115295,0.476083368062973,1.9360029697418213,0.4343971312046051,2.0010974407196045,0.32766398787498474,0.542161226272583,2.062584161758423,0.6962920427322388,2.0647056102752686,2.1020467281341553,0.49096670746803284,0.5503730177879333,0.5869844555854797,0.6046424508094788,2.1222822666168213,2.1410088539123535,0.9782619476318359,1.1034367084503174,0,0.23999999463558197,0.07000000029802322,0,0.05000000074505806,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0
9,39999,1.8452495336532593,0.14337022602558136,0.4739040732383728,1.9368617534637451,0.3786424994468689,2.0042285919189453,0.2849692702293396,0.5420181155204773,2.064453601837158,0.6339699029922485,2.067232608795166,2.1045660972595215,0.45115742087364197,0.5097576379776001,0.5860472917556763,0.6040422916412354,2.1236915588378906,2.1432254314422607,0.9203425049781799,1.0490444898605347,0,0.33000001311302185,0.10999999940395355,0,0.07999999821186066,0,0,0.019999999552965164,0,0,0,0,0,0,0.0,0.0,0,0,0,0
