,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit
0,3999,1.531582236289978,1.722389817237854,1.8306256532669067,1.8821170330047607,0.0,0,0,0
1,7999,1.4979220628738403,1.7023261785507202,1.8047692775726318,1.8596715927124023,0.0,0,0,0
2,11999,1.4635818004608154,1.670211672782898,1.7737082242965698,1.8389323949813843,0.0,0,0,0
3,15999,1.4191272258758545,1.6319587230682373,1.7500908374786377,1.8060427904129028,0.0,0,0,0
4,19999,1.2930222749710083,1.5338499546051025,1.66506028175354,1.7309160232543945,0.0,0,0,0
5,23999,1.2451090812683105,1.4997620582580566,1.642989993095398,1.7043380737304688,0.009999999776482582,0,0,0
6,27999,1.2345550060272217,1.4886763095855713,1.6287176609039307,1.6941611766815186,0.0,0,0,0
7,31999,1.1538249254226685,1.4815683364868164,1.6219347715377808,1.691088080406189,0.009999999776482582,0,0,0
