,name,task,n_embd,train_size,seed,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
20,tdec_1216embd_mix_10000_s2,mix,1216,10000,2,31999,0.04030131921172142,1.6657851934432983,6.356504917144775,8.649694442749023,0.949999988079071,0.10999999940395357,0,0,7.816447045172481e-09,0.0008162088925018907,1.797030364514285e-07,0.012966184876859188,0.3315059244632721,1.3105677366256714,1.9987391233444216,0.1158486381173134,1.7692919969558716,3.557384967803955,2.961566686630249,4.843317985534668,6.111369609832764,8.925365447998047,1.9763373136520384,8.064977645874023,1,1,1,0.9700000286102296,0.07999999821186066,0.17000000178813934,0.029999999329447743,0.8399999737739563,0,0,0.009999999776482582,0,0,0,0.009999999776482582,0
21,tdec_896embd_mix_10000000_s1,mix,896,10000000,1,27999,4.802548937732354e-05,1.007371425628662,3.767000675201416,5.559535503387451,1,0.23999999463558197,0,0,5.934202818025369e-07,1.5368632375611924e-06,3.5033613130508456e-06,1.829673692554934e-06,0.004888598341494799,0.14258654415607452,0.8236923813819885,0.00029243738390505314,1.6086350679397583,2.7905521392822266,2.093355894088745,3.032723903656006,3.849212408065796,5.632795333862305,1.6257957220077517,7.0945281982421875,1,1,1,1,0.8899999856948853,0.5799999833106995,0.1899999976158142,1,0,0,0,0,0,0,0,0
22,tdec_1216embd_add_10000_s2,add,1216,10000,2,31999,0.05029626935720444,3.412595272064209,6.7487688064575195,10.551949501037598,0.9200000166893004,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,tdec_768embd_mix_10000000_s1,mix,768,10000000,1,31999,1.0140544191017398e-06,0.4839801490306854,4.024829864501953,4.846376895904541,1,0.3400000035762787,0,0,5.995229201971597e-09,1.7176482458580722e-08,2.2303476399088143e-08,4.9798103418652324e-08,0.8090836405754089,0.05360767245292664,0.002962162485346198,0.26312682032585144,1.3524342775344849,2.306925058364868,2.243567943572998,2.9961249828338623,4.210361003875732,5.187844753265381,8.477521896362305,11.581955909729004,1,1,1,1,0,0.8199999928474426,0.9700000286102296,0.4000000059604645,0,0,0,0,0,0,0,0
24,tdec_448embd_mix_10000000_s2,mix,448,10000000,2,31999,5.5225550568138715e-06,0.6055670976638794,3.321669578552246,4.079854965209961,1,0.1599999964237213,0,0,8.349840818766552e-09,2.123760012295861e-08,5.6919553514944716e-08,9.405318479593917e-08,0.0822499543428421,0.19970962405204773,0.7875110507011414,1.1439210538810585e-06,1.5008447170257568,2.5734262466430664,2.427793025970459,3.693118333816528,3.334582805633545,4.466516494750977,0.19218862056732175,7.607324600219727,1,1,1,1,0.3199999928474426,0.6200000047683716,0.15000000596046448,1,0,0,0.05999999865889549,0,0,0,0.27000001072883606,0
25,tdec_640embd_add_1000000_s3,add,640,1000000,3,31999,4.907317929792043e-08,0.3641064465045929,4.7235188484191895,5.6238532066345215,1,0.2800000011920929,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,tdec_448embd_add_10000000_s2,add,448,10000000,2,31999,2.1839574401383288e-05,0.7471650838851929,4.017290115356445,5.581396579742432,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,tdec_640embd_add_1000000_s2,add,640,1000000,2,31999,0.0011439051013439894,0.030002843588590625,2.218228816986084,3.297332763671875,0.9900000095367432,0.8199999928474426,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,tdec_1536embd_mix_100000_s1,mix,1536,100000,1,31999,0.02110869437456131,0.17361560463905334,8.97491455078125,14.477869987487791,0.9900000095367432,0.5799999833106995,0,0,4.5649570235006815e-10,3.999832465240161e-09,1.1737835592384728e-08,3.6257862490174375e-08,0.6916162967681885,0.397475928068161,0.3872274458408356,0.020642612129449844,3.262733459472656,5.395719051361084,4.961236476898193,9.088006019592283,8.58890151977539,12.6575927734375,1.379246950149536,13.0978422164917,1,1,1,1,0,0.4300000071525574,0.4300000071525574,0.949999988079071,0,0,0,0,0,0,0.05999999865889549,0
29,tdec_448embd_mix_1000000_s2,mix,448,1000000,2,31999,2.70065970653377e-06,0.10233616828918456,4.408053398132324,5.039048671722412,1,0.6600000262260437,0,0,2.0662940247717643e-09,5.8212994424877715e-09,1.6533424229692173e-07,1.6179636759261484e-06,0.00037193603930063546,0.006152335554361343,0.02533464878797531,1.279141997656552e-05,1.7463679313659668,3.280388593673706,2.5828545093536377,3.8020598888397217,4.964206695556641,5.748856067657471,0.46767425537109375,9.47543239593506,1,1,1,1,0.9900000095367432,0.959999978542328,0.9100000262260436,1,0,0,0,0,0,0,0.25999999046325684,0
30,tdec_1344embd_add_10000_s1,add,1344,10000,1,31999,0.12844495475292206,5.608925819396973,6.3025970458984375,11.31954574584961,0.8799999952316284,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
