,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit
0,3999,1.4691412448883057,1.7395917177200317,1.8461300134658813,1.9062422513961792,0.0,0,0,0
1,7999,1.426214337348938,1.6938837766647339,1.8070015907287598,1.8786871433258057,0.0,0,0,0
2,11999,1.160723090171814,1.484404444694519,1.6284384727478027,1.695641279220581,0.009999999776482582,0,0,0
3,15999,1.1308393478393555,1.4578262567520142,1.608588695526123,1.6730328798294067,0.009999999776482582,0,0,0
4,19999,1.060888648033142,1.4405499696731567,1.5904383659362793,1.6561027765274048,0.019999999552965164,0,0,0
5,23999,0.8726809024810791,1.3034251928329468,1.478366494178772,1.559542179107666,0.05000000074505806,0,0,0
6,27999,0.8611371517181396,1.2805896997451782,1.4569261074066162,1.5388911962509155,0.12999999523162842,0,0,0
7,31999,0.8937086462974548,1.2803665399551392,1.4513146877288818,1.5313873291015625,0.10000000149011612,0,0,0
