,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit
0,3999,0.7128524780273438,1.2066129446029663,1.519281268119812,1.963529348373413,0.1899999976158142,0.0,0,0
1,7999,0.0360400453209877,0.9949659705162048,2.6610612869262695,3.922745943069458,0.8600000143051147,0.009999999776482582,0,0
2,11999,0.009088579565286636,0.16580075025558472,2.9546592235565186,3.999067783355713,0.9700000286102295,0.4399999976158142,0,0
3,15999,0.008174402639269829,0.6289512515068054,3.5166192054748535,5.4390645027160645,0.9700000286102295,0.019999999552965164,0,0
4,19999,0.00252141454257071,0.3561200797557831,4.335177421569824,6.240570545196533,0.9900000095367432,0.36000001430511475,0,0
5,23999,0.007031070999801159,0.8702665567398071,3.548835039138794,5.023529529571533,0.9900000095367432,0.0,0,0
6,27999,6.9467379944399e-05,0.1440216302871704,3.8169631958007812,6.055116653442383,1.0,0.5799999833106995,0,0
7,31999,0.008210206404328346,0.24677510559558868,3.8305084705352783,5.8223724365234375,0.9900000095367432,0.4000000059604645,0,0
8,35999,0.0003201016515959054,0.27969416975975037,3.1440694332122803,3.696676254272461,1.0,0.3400000035762787,0,0
9,39999,1.895908462756779e-05,0.06565806269645691,4.418160915374756,6.552819728851318,1.0,0.7400000095367432,0,0
10,43999,0.0017892071045935154,0.12462840229272842,4.739401340484619,7.212847709655762,0.9900000095367432,0.6299999952316284,0,0
11,47999,0.000762773328460753,0.27263781428337097,4.408391952514648,6.0315752029418945,1.0,0.3499999940395355,0,0
