,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
0,3999,0.10269157588481903,0.00010772222594823688,0.04089470952749252,0.08210256695747375,0.005767590831965208,0.43829259276390076,0.9692878127098083,0.2945217490196228,0.2653695344924927,0.07963011413812637,1.0240240097045898,2.734259843826294,1.2411677837371826,2.183154821395874,0.7297458052635193,2.929060697555542,0.8886463046073914,3.205099105834961,0.17006288468837738,2.851733684539795,0.7400000095367432,1,0.8799999952316284,0.8600000143051147,0.9599999785423279,0.18000000715255737,0.0,0.3199999928474426,0.3100000023841858,0.5799999833106995,0.009999999776482582,0,0,0,0.05000000074505806,0,0.009999999776482582,0,0.25999999046325684,0
1,7999,0.018345380201935768,5.418421551439678e-06,7.915280002634972e-05,0.00020739813044201583,0.00031843752367421985,0.4078648090362549,0.2972061038017273,0.3358512818813324,0.4358081519603729,0.04746481776237488,3.64778995513916,6.075690746307373,0.9453327059745789,1.5513911247253418,1.5135443210601807,2.6585354804992676,3.909701347351074,6.351512432098389,2.343416929244995,7.481121063232422,0.949999988079071,1,1.0,0.9900000095367432,1.0,0.10000000149011612,0.0,0.30000001192092896,0.10999999940395355,0.8299999833106995,0.0,0,0,0,0.07000000029802322,0,0.0,0,0.0,0
2,11999,0.0015866224421188235,1.2779301869159099e-05,4.6077751903794706e-05,3.7038367736386135e-05,0.007007856387645006,0.24775585532188416,0.6106780767440796,0.2745937705039978,0.11648151278495789,0.03132619708776474,3.675370454788208,4.2732110023498535,1.0272518396377563,1.9503052234649658,1.8921699523925781,2.2204339504241943,4.157129764556885,4.817259788513184,2.2209622859954834,7.238580703735352,0.9900000095367432,1,1.0,0.9900000095367432,0.9800000190734863,0.30000001192092896,0.0,0.3199999928474426,0.5299999713897705,0.9100000262260437,0.0,0,0,0,0.019999999552965164,0,0.0,0,0.0,0
3,15999,0.005402409005910158,4.715844625025056e-06,3.4554011563159293e-06,1.0616375220706686e-05,0.0018683952512219548,0.7622840404510498,0.6552661657333374,0.8713605999946594,0.9364492297172546,0.07998080551624298,2.729001045227051,3.6204092502593994,0.8593113422393799,1.5184712409973145,1.590073585510254,2.379347324371338,2.8704023361206055,3.9183413982391357,4.103611946105957,7.563214302062988,0.9900000095367432,1,1.0,1.0,0.9900000095367432,0.03999999910593033,0.009999999776482582,0.1899999976158142,0.009999999776482582,0.7599999904632568,0.0,0,0,0,0.019999999552965164,0,0.0,0,0.0,0
4,19999,0.0003035269328393042,1.6335705367964692e-05,2.984869979627547e-06,4.3410946091171354e-05,6.589893018826842e-05,0.552473247051239,1.2263108491897583,0.1187739372253418,0.041065435856580734,0.029538461938500404,3.301328420639038,4.4254961013793945,1.5253866910934448,2.6152143478393555,1.685836911201477,2.4451346397399902,3.5112199783325195,4.776944637298584,2.528899908065796,7.648736000061035,1.0,1,1.0,1.0,1.0,0.23999999463558197,0.0,0.6499999761581421,0.8700000047683716,0.8299999833106995,0.0,0,0,0,0.0,0,0.0,0,0.0,0
5,23999,4.453966994333314e-06,1.2846662400534115e-08,2.585247500519472e-07,8.06267394182214e-07,4.356704721431015e-06,1.3687819242477417,0.8109853267669678,0.6323786377906799,0.2572818696498871,0.3568965494632721,4.111900806427002,5.223898410797119,1.9563076496124268,3.1435346603393555,2.831463098526001,3.864753484725952,4.193981170654297,5.4135422706604,8.06725788116455,10.933672904968262,1.0,1,1.0,1.0,1.0,0.1599999964237213,0.0,0.28999999165534973,0.5099999904632568,0.25999999046325684,0.0,0,0,0,0.0,0,0.0,0,0.0,0
6,27999,8.240077477239538e-06,2.0353168395104149e-07,3.3469908089500677e-07,1.0325690027457313e-06,8.408239295931708e-07,0.8655692338943481,0.9920722246170044,0.2809090316295624,0.014871321618556976,0.3132900893688202,2.950432538986206,3.4133880138397217,1.6099684238433838,2.6013238430023193,2.0437374114990234,2.8545053005218506,3.3197219371795654,4.164301872253418,9.405732154846191,11.651329040527344,1.0,1,1.0,1.0,1.0,0.25,0.0,0.5299999713897705,0.9200000166893005,0.15000000596046448,0.0,0,0,0,0.0,0,0.0,0,0.0,0
7,31999,1.0140544191017398e-06,5.995229201971597e-09,1.7176482458580722e-08,2.230347639908814e-08,4.979810341865232e-08,0.4839801490306854,0.8090836405754089,0.053607672452926636,0.002962162485346198,0.26312682032585144,4.024829864501953,4.846376895904541,1.3524342775344849,2.306925058364868,2.243567943572998,2.9961249828338623,4.210361003875732,5.187844753265381,8.477521896362305,11.581955909729004,1.0,1,1.0,1.0,1.0,0.3400000035762787,0.0,0.8199999928474426,0.9700000286102295,0.4000000059604645,0.0,0,0,0,0.0,0,0.0,0,0.0,0
