,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit
0,1999,1.6491163969039917,1.859859585762024,2.1725211143493652,2.7236216068267822,0.0,0.0,0,0
1,3999,1.3447872400283813,1.630959153175354,2.105943202972412,2.5558719635009766,0.009999999776482582,0.0,0,0
2,5999,0.8945821523666382,1.3980209827423096,1.5835130214691162,1.7204811573028564,0.11999999731779099,0.0,0,0
3,7999,0.6970375180244446,1.0497210025787354,1.3397712707519531,1.5089781284332275,0.25,0.0,0,0
4,9999,0.3678074777126312,0.8375813961029053,1.2288272380828857,1.6387423276901245,0.4399999976158142,0.0,0,0
5,11999,0.2076890766620636,0.601895272731781,1.3929338455200195,2.092008352279663,0.6100000143051147,0.0,0,0
6,13999,0.17868724465370178,1.850834608078003,3.726818799972534,4.8212456703186035,0.6299999952316284,0.0,0,0
7,15999,0.12517231702804565,1.133721947669983,3.3915231227874756,3.970000982284546,0.699999988079071,0.05000000074505806,0,0
8,17999,0.09780099242925644,2.622601270675659,3.4105536937713623,4.719854831695557,0.7900000214576721,0.0,0,0
9,19999,0.08693238347768784,1.0619306564331055,2.925583839416504,4.395594120025635,0.8100000023841858,0.029999999329447746,0,0
10,21999,0.06041799113154411,2.497837781906128,4.199403285980225,6.7691330909729,0.8299999833106995,0.009999999776482582,0,0
11,23999,0.05436663702130318,0.7668877243995667,5.52047061920166,7.7659125328063965,0.800000011920929,0.17000000178813934,0,0
12,25999,0.04612984508275986,0.9744434356689453,5.225158214569092,8.83635425567627,0.8299999833106995,0.1599999964237213,0,0
13,27999,0.022799454629421234,2.8767714500427246,4.0922956466674805,6.916116237640381,0.8199999928474426,0.009999999776482582,0,0
14,30000,0.006549049634486437,2.5225400924682617,5.125871658325195,7.861300468444824,0.9599999785423279,0.009999999776482582,0,0
15,32000,0.0031885982025414705,1.344180941581726,4.540279865264893,5.989398002624512,0.9800000190734863,0.03999999910593033,0,0
16,34000,0.00042962710722349584,1.145602822303772,5.901498317718506,7.664641857147217,1.0,0.009999999776482582,0,0
17,36000,8.5317951743491e-05,1.8997702598571777,6.700085639953613,8.794559478759766,0.9900000095367432,0.03999999910593033,0,0
18,38000,9.049880463862792e-05,3.131335973739624,5.602665901184082,7.1935343742370605,1.0,0.0,0,0
19,40000,9.308623702963814e-06,0.7744502425193787,6.758041858673096,7.859539031982422,1.0,0.03999999910593033,0,0
20,42000,3.3259260817430913e-05,1.8573356866836548,5.493911266326904,6.4167280197143555,1.0,0.03999999910593033,0,0
21,44000,9.819307706493419e-06,0.8555862903594971,5.208871364593506,6.0694780349731445,1.0,0.05000000074505806,0,0
22,46000,8.821195478958543e-06,0.8450600504875183,5.6989240646362305,7.890517711639404,1.0,0.07000000029802322,0,0
23,48000,9.042204510478768e-06,1.2555409669876099,5.782238960266113,7.4463958740234375,1.0,0.019999999552965164,0,0
