,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit
0,3999,1.1264032125473022,1.5060904026031494,1.6504738330841064,1.730648398399353,0.009999999776482582,0,0,0
1,7999,0.8033832311630249,1.2864978313446045,1.4733024835586548,1.589415431022644,0.18000000715255737,0,0,0
2,11999,1.5853400230407715,2.6542751789093018,2.9748167991638184,3.5894360542297363,0.23000000417232513,0,0,0
3,15999,2.9192473888397217,4.542472839355469,5.170460224151611,6.166961669921875,0.11999999731779099,0,0,0
4,19999,3.2419557571411133,5.29759407043457,6.348150253295898,7.876511096954346,0.18000000715255737,0,0,0
5,23999,3.1541974544525146,5.790078639984131,6.746237277984619,8.541092872619629,0.27000001072883606,0,0,0
6,27999,3.8563904762268066,6.068530082702637,7.459599494934082,9.36306381225586,0.17000000178813934,0,0,0
7,31999,3.3614351749420166,6.304434299468994,7.836116313934326,9.920188903808594,0.1899999976158142,0,0,0
