,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
0,3999,0.1500210165977478,2.7361302272765897e-05,0.008235514163970947,0.028200607746839523,0.002975465264171362,0.267482727766037,0.00010616046347422525,0.022641727700829506,0.0940227061510086,0.009740007109940052,0.7138913869857788,1.4692462682724,0.052126795053482056,0.6669531464576721,0.12437517195940018,0.5168098211288452,0.5521456003189087,1.4896769523620605,0.02316976524889469,0.380426287651062,0.5199999809265137,1.0,0.9300000071525574,0.7900000214576721,0.9599999785423279,0.1599999964237213,0.9900000095367432,0.8799999952316284,0.41999998688697815,0.9200000166893005,0,0,0.3199999928474426,0,0.38999998569488525,0.009999999776482582,0.019999999552965164,0,0.75,0.019999999552965164
1,7999,0.02446460910141468,4.257272303220816e-05,0.0004128323926124722,0.000466416880954057,0.0008167707710526884,0.021130593493580818,8.83290558704175e-05,0.008057706989347935,0.0022976594045758247,0.004949461203068495,2.2200355529785156,3.3096446990966797,0.8119484186172485,1.9400355815887451,1.3503261804580688,2.750877618789673,2.2700135707855225,3.615694999694824,0.0195755735039711,2.0579729080200195,0.8899999856948853,1.0,1.0,0.9900000095367432,0.9800000190734863,0.8999999761581421,0.9900000095367432,0.9599999785423279,0.9900000095367432,0.9599999785423279,0,0,0.0,0,0.05999999865889549,0.0,0.0,0,0.7699999809265137,0.0
2,11999,0.004162993282079697,1.3912019767303718e-06,7.810675924702082e-06,3.8326546928146854e-05,0.0001751243107719347,0.020747927948832512,0.003269181353971362,0.031419988721609116,0.005971949081867933,0.00011859703226946294,2.657353401184082,3.52854061126709,0.8750669956207275,1.6891244649887085,1.9309165477752686,3.368839740753174,2.985819101333618,4.203692436218262,0.010783033445477486,3.0604782104492188,0.9700000286102295,1.0,1.0,1.0,1.0,0.8899999856948853,0.9599999785423279,0.8799999952316284,0.949999988079071,1.0,0,0,0.0,0,0.009999999776482582,0.0,0.0,0,0.8899999856948853,0.0
3,15999,0.004637812729924917,6.579847990906273e-07,4.485858880798332e-06,1.1699969945766497e-05,0.00012273507309146225,0.3498266637325287,0.01522050891071558,0.04491204768419266,0.06050800904631615,0.00017827744886744767,2.4491138458251953,4.121153831481934,1.5177867412567139,2.989514112472534,1.2577426433563232,2.997072696685791,2.323828935623169,4.31766939163208,0.4123905599117279,5.0659098625183105,0.9700000286102295,1.0,1.0,1.0,1.0,0.3700000047683716,0.6600000262260437,0.7599999904632568,0.699999988079071,0.9900000095367432,0,0,0.0,0,0.18000000715255737,0.0,0.0,0,0.07000000029802322,0.0
4,19999,0.0021971005480736494,1.7007805581670254e-06,4.234525931678945e-06,7.0127898652572185e-06,2.0528097593341954e-05,0.0215882807970047,0.11062093079090118,0.00015475621330551803,0.00013876466255169362,9.074008994502947e-05,1.9130446910858154,3.0372540950775146,1.0523386001586914,1.9210160970687866,1.6579642295837402,2.4640510082244873,2.0200393199920654,3.6140525341033936,0.6351692080497742,5.525916576385498,0.9900000095367432,0.9900000095367432,1.0,1.0,1.0,0.8700000047683716,0.1599999964237213,1.0,1.0,1.0,0,0,0.0,0,0.17000000178813934,0.0,0.0,0,0.009999999776482582,0.0
5,23999,0.0012524635531008244,1.287426272256198e-07,9.186044280795613e-07,6.385371307260357e-06,2.9863540476071648e-05,0.495198130607605,0.02000904269516468,0.21235114336013794,0.6445760130882263,1.4267800906964112e-05,2.1967742443084717,3.306500196456909,1.5612130165100098,2.6544644832611084,1.3897439241409302,2.7221269607543945,1.9171142578125,3.364166498184204,1.0331577062606812,6.692382335662842,1.0,1.0,1.0,1.0,0.9900000095367432,0.09000000357627869,0.6100000143051147,0.36000001430511475,0.07000000029802322,1.0,0,0,0.0,0,0.10999999940395355,0.0,0.0,0,0.0,0.0
6,27999,0.0001799488381948322,5.0180437938252e-07,6.021753051754786e-07,4.202659056318225e-06,4.7134685701166745e-06,0.0006552997510880232,0.0030528816860169172,0.0004444242222234607,0.00029326006188057363,0.0001766243512975052,2.4738640785217285,3.7885332107543945,1.5414386987686157,3.2492568492889404,1.6451603174209595,3.3803231716156006,2.3824422359466553,4.549397945404053,1.4264308214187622,7.784886360168457,1.0,1.0,1.0,1.0,1.0,0.9900000095367432,0.9599999785423279,1.0,1.0,1.0,0,0,0.0,0,0.12999999523162842,0.0,0.0,0,0.0,0.0
7,31999,1.62332653417252e-05,1.4413666704626849e-08,1.4406654713639e-07,9.256349358111038e-07,9.232616093868273e-07,0.08978363126516342,0.0007557328790426254,0.0010917331092059612,0.0015815896913409233,4.24068957727286e-06,2.386425256729126,3.4131338596343994,1.744513750076294,2.896791934967041,1.5694764852523804,2.5405898094177246,2.2930266857147217,3.453784465789795,2.089205741882324,9.231965065002441,1.0,1.0,1.0,1.0,1.0,0.6299999952316284,0.9800000190734863,1.0,0.9700000286102295,1.0,0,0,0.0,0,0.17000000178813934,0.0,0.0,0,0.0,0.0
8,35999,8.869075827533379e-05,1.8073826879572152e-08,1.7986441491757432e-07,5.767498123532278e-07,7.415725349346758e-07,0.04624931886792183,0.001287140417844057,0.0006211436702869833,0.0035542554687708616,3.656500484794378e-05,2.2044715881347656,3.2041821479797363,1.2052876949310303,1.7078300714492798,1.3421778678894043,1.4492340087890625,1.9349217414855957,2.9543814659118652,2.1476738452911377,8.525067329406738,1.0,1.0,1.0,1.0,1.0,0.7699999809265137,0.9599999785423279,1.0,0.949999988079071,1.0,0,0,0.0,0,0.15000000596046448,0.0,0.0,0,0.0,0.0
9,39999,2.7156660507898778e-05,3.12143271230525e-08,8.75677130807162e-08,3.6987131579735433e-07,3.9126939554989804e-07,0.0006340367835946381,0.018565677106380463,2.896882051572902e-06,6.382193532772362e-05,3.220058488295763e-06,2.8198602199554443,4.298843860626221,1.8712544441223145,3.1996042728424072,1.8036645650863647,3.17368745803833,2.6739821434020996,4.393288612365723,1.7879770994186401,8.680712699890137,0.9900000095367432,1.0,1.0,1.0,1.0,1.0,0.6800000071525574,1.0,1.0,1.0,0,0,0.0,0,0.11999999731779099,0.0,0.0,0,0.0,0.0
