,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit
0,3999,0.8597275614738464,1.3838359117507935,1.541374921798706,1.6211947202682495,0.10999999940395355,0.0,0,0
1,7999,0.33877819776535034,0.8831002712249756,1.261937141418457,1.4385323524475098,0.5299999713897705,0.0,0,0
2,11999,0.5060361623764038,1.8156154155731201,3.0886404514312744,3.824570655822754,0.5799999833106995,0.0,0,0
3,15999,0.7856276035308838,2.0662665367126465,3.425708532333374,4.562412261962891,0.4699999988079071,0.0,0,0
4,19999,1.0151574611663818,2.286745071411133,3.7332282066345215,5.114254474639893,0.4399999976158142,0.0,0,0
5,23999,0.9785643219947815,2.6503734588623047,4.392721652984619,5.808450222015381,0.5600000023841858,0.0,0,0
6,27999,0.9389042854309082,2.668410062789917,4.575697422027588,6.015737533569336,0.550000011920929,0.019999999552965164,0,0
7,31999,1.1080241203308105,2.8032684326171875,5.033785820007324,6.605294227600098,0.5099999904632568,0.0,0,0
