,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit
0,3999,1.1503430604934692,1.4649195671081543,1.6178780794143677,1.686119556427002,0.009999999776482582,0.0,0,0
1,7999,0.7428992986679077,1.1681967973709106,1.3887460231781006,1.503108024597168,0.18000000715255737,0.0,0,0
2,11999,0.43968209624290466,0.880454957485199,1.1242340803146362,1.2553763389587402,0.36000001430511475,0.0,0,0
3,15999,0.04177412390708923,0.08624766021966934,0.5012683272361755,1.7393221855163574,0.7900000214576721,0.5600000023841858,0,0
4,19999,0.0036487113684415817,0.008001445792615414,2.644120216369629,3.465946674346924,1.0,0.9700000286102295,0,0
5,23999,0.0013574581826105714,0.47072428464889526,3.094345808029175,3.629307508468628,1.0,0.20999999344348907,0,0
6,27999,0.0023335455916821957,0.015747666358947754,3.118060827255249,3.575165033340454,0.9900000095367432,0.9300000071525574,0,0
7,31999,0.00015698240895289928,0.012339243665337563,3.5161097049713135,4.1837944984436035,1.0,0.9399999976158142,0,0
8,35999,2.8257165467948653e-05,0.007469375617802143,3.485032558441162,3.5371224880218506,1.0,0.9599999785423279,0,0
9,39999,1.1809336683654692e-05,0.003487299894914031,4.0499982833862305,4.125764846801758,1.0,0.949999988079071,0,0
10,43999,3.1796664643479744e-06,0.4850466549396515,3.7024996280670166,3.797494888305664,1.0,0.09000000357627869,0,0
11,47999,5.881074116587115e-07,0.05698258429765701,4.342561721801758,3.922121286392212,1.0,0.8100000023841858,0,0
