,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit
0,1000,3.3194594383239746,3.673860549926758,3.717306613922119,3.8086626529693604,0.0,0.0,0,0
1,2002,1.806828498840332,2.134782314300537,2.190568685531616,2.9976913928985596,0.0,0.0,0,0
2,3003,1.4491161108016968,1.9442389011383057,2.5009548664093018,3.602388858795166,0.0,0.0,0,0
3,4005,1.1388665437698364,1.6325786113739014,2.2529594898223877,3.1390442848205566,0.009999999776482582,0.0,0,0
4,5006,1.0055640935897827,1.852083683013916,2.263880968093872,2.913304090499878,0.05999999865889549,0.0,0,0
5,6008,0.8464792370796204,1.9689602851867676,2.1825263500213623,2.6642630100250244,0.1599999964237213,0.0,0,0
6,7009,0.5133212804794312,1.0673093795776367,1.8532440662384033,2.415461301803589,0.28999999165534973,0.0,0,0
7,8011,0.31470900774002075,1.5558712482452393,2.3888814449310303,3.4272522926330566,0.49000000953674316,0.0,0,0
8,9012,0.341505765914917,2.9906911849975586,3.2638614177703857,5.163560390472412,0.4399999976158142,0.0,0,0
9,10013,0.14343297481536865,2.1511764526367188,3.594183921813965,5.043757438659668,0.7200000286102295,0.0,0,0
10,11015,0.1489284783601761,1.10016930103302,2.711862564086914,3.644162893295288,0.699999988079071,0.009999999776482582,0,0
11,12016,0.023765599355101585,2.1259310245513916,2.3798139095306396,3.2595410346984863,0.8700000047683716,0.0,0,0
12,13018,0.01849873922765255,3.2108805179595947,2.8719675540924072,4.89607572555542,0.9200000166893005,0.0,0,0
13,14019,0.0174587219953537,1.0371462106704712,2.1887190341949463,3.620276689529419,0.8700000047683716,0.009999999776482582,0,0
14,15021,0.013669660314917564,3.698526382446289,3.0391767024993896,5.357814311981201,0.9599999785423279,0.0,0,0
15,16022,0.019505053758621216,3.4379568099975586,3.2725095748901367,5.069406509399414,0.9100000262260437,0.0,0,0
16,17024,0.007387327495962381,3.054616689682007,3.0617055892944336,4.732686996459961,0.9399999976158142,0.0,0,0
17,18025,0.007032228168100119,3.1416709423065186,2.9978652000427246,4.922897815704346,0.949999988079071,0.0,0,0
18,19026,0.00818813405930996,2.787792921066284,3.317284345626831,4.89061164855957,0.9800000190734863,0.0,0,0
19,20028,0.0017093000933527946,2.9184393882751465,2.575822114944458,3.9099576473236084,0.9700000286102295,0.0,0,0
20,21029,0.01270261500030756,2.409463405609131,2.759646415710449,4.109003067016602,0.9399999976158142,0.0,0,0
21,22031,0.0012990039540454745,3.182716131210327,3.3064098358154297,5.070530891418457,0.9900000095367432,0.0,0,0
22,23032,0.002283960347995162,2.785468101501465,3.039902687072754,4.7836103439331055,0.9800000190734863,0.0,0,0
23,24034,0.01821816712617874,3.189892292022705,3.0193254947662354,4.616867542266846,0.9399999976158142,0.0,0,0
24,25035,0.0024285174440592527,2.6905503273010254,2.933072566986084,4.3116841316223145,0.9700000286102295,0.0,0,0
25,26037,0.0051273684948682785,2.881464958190918,2.7302122116088867,4.617554187774658,0.9700000286102295,0.0,0,0
26,27038,0.00711982324719429,3.0606606006622314,3.4264636039733887,5.640206813812256,0.9800000190734863,0.0,0,0
27,28040,0.0013821050524711609,3.408693552017212,3.4446768760681152,5.80950927734375,0.9900000095367432,0.0,0,0
28,29041,0.005571235902607441,3.0609331130981445,3.4545464515686035,4.733511447906494,0.9900000095367432,0.0,0,0
29,30042,0.00023270380916073918,3.060530185699463,3.36698055267334,5.147236347198486,1.0,0.0,0,0
30,31044,0.00019228816381655633,2.5150372982025146,2.7010443210601807,4.076684951782227,1.0,0.0,0,0
31,32045,0.004076958168298006,2.929969549179077,3.459268808364868,5.127973556518555,1.0,0.0,0,0
32,33047,0.0024846920277923346,3.0175974369049072,3.2436282634735107,4.882343769073486,0.9800000190734863,0.0,0,0
33,34048,0.001304764999076724,2.7037198543548584,3.3994836807250977,4.700567722320557,1.0,0.0,0,0
34,35050,0.007257571443915367,2.8472049236297607,3.0627663135528564,4.293704986572266,0.9900000095367432,0.0,0,0
35,36051,7.978724170243368e-05,3.334808111190796,3.182281494140625,4.919915676116943,1.0,0.0,0,0
36,37053,0.00018459500279277563,2.954002618789673,3.5198278427124023,5.2981343269348145,1.0,0.0,0,0
37,38054,0.0002808928838931024,4.151666164398193,4.018927574157715,5.819067001342773,0.9900000095367432,0.0,0,0
38,39055,0.0007561396923847497,3.1343860626220703,3.432621479034424,5.258767127990723,0.9900000095367432,0.0,0,0
39,40057,0.0025278651155531406,3.502190351486206,3.957901954650879,5.753957748413086,0.9900000095367432,0.0,0,0
40,41058,0.00014420092338696122,3.7631995677948,3.82681941986084,5.807778358459473,1.0,0.0,0,0
41,42060,1.263945614482509e-05,3.206709384918213,4.046748161315918,5.8224196434021,1.0,0.0,0,0
42,43061,0.0012186705134809017,3.6859359741210938,3.945948600769043,6.069213390350342,0.9900000095367432,0.0,0,0
43,44063,6.956463948881719e-06,3.6156046390533447,3.90989351272583,6.251582145690918,1.0,0.0,0,0
44,45064,0.0008879749220795929,3.488032341003418,4.009023666381836,6.187863826751709,0.9900000095367432,0.0,0,0
