,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit
0,3999,1.4913957118988037,1.7118809223175049,1.8095579147338867,1.8662726879119873,0.0,0,0,0
1,7999,1.1957569122314453,1.4868884086608887,1.6337798833847046,1.6914936304092407,0.019999999552965164,0,0,0
2,11999,0.8803912401199341,1.2928369045257568,1.4648631811141968,1.5473966598510742,0.09000000357627869,0,0,0
3,15999,0.6686083078384399,1.0882940292358398,1.3173693418502808,1.425356149673462,0.23999999463558197,0,0,0
4,19999,0.5776238441467285,1.0116221904754639,1.245585322380066,1.346326470375061,0.33000001311302185,0,0,0
5,23999,0.5349417328834534,0.9693216681480408,1.205895185470581,1.3167628049850464,0.33000001311302185,0,0,0
6,27999,0.49000900983810425,0.9322711229324341,1.169636845588684,1.2750753164291382,0.3400000035762787,0,0,0
7,31999,0.4257887601852417,0.8997963070869446,1.1433957815170288,1.2407574653625488,0.3400000035762787,0,0,0
8,35999,0.33481061458587646,0.7938225269317627,1.0475680828094482,1.1630194187164307,0.4099999964237213,0,0,0
9,39999,0.3070656359195709,0.755007266998291,1.0196516513824463,1.1355297565460205,0.44999998807907104,0,0,0
10,43999,0.2893986403942108,0.739500105381012,1.0048154592514038,1.121009349822998,0.4699999988079071,0,0,0
11,47999,0.27147045731544495,0.7156445384025574,0.987598717212677,1.1062949895858765,0.44999998807907104,0,0,0
