,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
0,3999,0.18396876752376556,0.0006557407323271036,0.009720063768327236,0.03625116124749184,0.010457421652972698,0.2995379567146301,0.16708393394947052,0.0719754621386528,0.08379534631967545,0.04913286864757538,1.2438522577285767,2.201507329940796,0.7046764492988586,1.5615592002868652,0.9082402586936951,1.8203424215316772,1.4984451532363892,2.517629861831665,0.12302402406930923,3.072653293609619,0.5799999833106995,0.9800000190734863,0.9599999785423279,0.9200000166893005,0.9300000071525574,0.25,0.15000000596046448,0.6200000047683716,0.6899999976158142,0.7900000214576721,0,0,0,0,0.029999999329447746,0,0,0,0.4300000071525574,0
1,7999,0.003266285639256239,0.00017650054360274225,0.0002415551571175456,0.0004373094707261771,0.001442552194930613,0.2506122291088104,0.45043930411338806,0.3763561248779297,0.42994359135627747,0.01932116225361824,1.8110568523406982,2.721426486968994,0.8441457152366638,1.776960015296936,1.1408801078796387,1.9930812120437622,1.757617473602295,2.728008508682251,1.012830376625061,5.689685821533203,0.9800000190734863,1.0,1.0,0.9700000286102295,1.0,0.3199999928474426,0.0,0.1599999964237213,0.17000000178813934,0.9399999976158142,0,0,0,0,0.10999999940395355,0,0,0,0.0,0
2,11999,0.0006286099087446928,1.3768102462563547e-06,1.79576818482019e-05,0.00011264684872003272,0.00037301634438335896,0.4883839786052704,0.8734104037284851,0.20919466018676758,0.24943837523460388,0.05034659430384636,1.9103858470916748,2.6705939769744873,1.2720849514007568,2.3060081005096436,1.226189374923706,2.0043420791625977,2.198260545730591,3.084888219833374,2.354057788848877,6.915131092071533,1.0,1.0,1.0,1.0,1.0,0.11999999731779099,0.0,0.3700000047683716,0.23000000417232513,0.7400000095367432,0,0,0,0,0.0,0,0,0,0.0,0
3,15999,0.00014206243213266134,1.3954303312857519e-06,1.0732053851825185e-05,1.633977808523923e-05,0.0001267066691070795,0.7939717173576355,0.7036650776863098,0.20903930068016052,0.22928713262081146,0.02386879362165928,2.9669711589813232,4.020457744598389,1.5925872325897217,2.988851547241211,1.756705641746521,2.822981357574463,3.380139112472534,4.617300510406494,3.6201436519622803,8.677140235900879,0.9900000095367432,1.0,1.0,1.0,0.9900000095367432,0.10000000149011612,0.0,0.5199999809265137,0.41999998688697815,0.8899999856948853,0,0,0,0,0.0,0,0,0,0.0,0
4,19999,1.9706263628904708e-05,7.813044931026525e-07,8.718096978554968e-06,4.298326530260965e-06,3.206939481970039e-06,0.23855364322662354,0.8480132222175598,0.14373427629470825,0.12718111276626587,0.345455139875412,2.959118366241455,3.618873357772827,1.181870698928833,2.0148327350616455,2.0550670623779297,2.9174294471740723,3.1755483150482178,3.9825246334075928,3.8566229343414307,8.952178001403809,1.0,1.0,1.0,1.0,1.0,0.2800000011920929,0.0,0.6100000143051147,0.6700000166893005,0.20999999344348907,0,0,0,0,0.0,0,0,0,0.0,0
5,23999,6.202883469086373e-06,7.990969663751457e-08,1.4197198652254883e-06,9.714239013192127e-07,1.993409341594088e-06,0.4096040725708008,1.2851157188415527,0.1288524568080902,0.2041928917169571,0.05922863632440567,3.5503625869750977,4.139272212982178,1.3522688150405884,2.361083507537842,2.300933361053467,3.077678918838501,3.725548028945923,4.41602897644043,5.277191162109375,9.667651176452637,1.0,1.0,1.0,1.0,1.0,0.23000000417232513,0.0,0.6899999976158142,0.5299999713897705,0.7900000214576721,0,0,0,0,0.0,0,0,0,0.0,0
6,27999,1.0501120186745538e-06,5.152961612964191e-09,1.412831718283769e-08,2.9770453124911e-07,2.8326891765573237e-07,0.3558008074760437,1.2167632579803467,0.16792452335357666,0.17361128330230713,0.10602866113185883,3.5171544551849365,4.210346221923828,1.3533741235733032,2.601060390472412,2.346230983734131,3.1331915855407715,3.727717638015747,4.627508163452148,7.057550430297852,11.772858619689941,1.0,1.0,1.0,1.0,1.0,0.23000000417232513,0.0,0.6499999761581421,0.5699999928474426,0.5199999809265137,0,0,0,0,0.0,0,0,0,0.0,0
7,31999,6.291120939749817e-07,8.978063625875166e-09,3.219999911152627e-08,4.909090307592123e-07,7.9228492211314e-08,0.4045403003692627,1.6592384576797485,0.14283663034439087,0.3815988600254059,0.28546082973480225,3.089585304260254,3.9820258617401123,1.4508379697799683,2.764801263809204,1.808660864830017,2.9535579681396484,3.2145862579345703,4.1768574714660645,8.282634735107422,12.035839080810547,1.0,1.0,1.0,1.0,1.0,0.12999999523162842,0.0,0.5400000214576721,0.3199999928474426,0.3100000023841858,0,0,0,0,0.029999999329447746,0,0,0,0.0,0
