,trainer/global_step,val_loss/add_in_dist,val_loss/add_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_acc/add_in_dist,val_acc/add_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit
0,3999,1.067240595817566,1.5708487033843994,2.709524631500244,2.942272424697876,0.03999999910593033,0.0,0,0
1,7999,0.2800964117050171,2.371297836303711,3.6689510345458984,4.491919994354248,0.4300000071525574,0.0,0,0
2,11999,0.12942558526992798,2.3731212615966797,3.391451120376587,4.655078887939453,0.6700000166893005,0.0,0,0
3,15999,0.06077282875776291,1.8883339166641235,2.942228078842163,3.9752230644226074,0.7900000214576721,0.0,0,0
4,19999,0.004383689258247614,1.9623607397079468,3.4361743927001953,4.591771125793457,0.9599999785423279,0.0,0,0
5,23999,0.0024699943605810404,3.747187614440918,3.8381705284118652,6.504268646240234,0.9800000190734863,0.0,0,0
6,27999,0.00167243299074471,0.9768202304840088,3.171069622039795,4.932673454284668,0.9800000190734863,0.03999999910593033,0,0
7,31999,0.0003060105082113296,1.3977056741714478,3.846096992492676,6.008037090301514,0.9900000095367432,0.019999999552965164,0,0
