,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
0,1013,2.8815689086914062,1.637321949005127,0.5905548334121704,3.4451744556427,2.9807326793670654,3.218918561935425,1.6734470129013062,0.6420442461967468,3.577700138092041,3.1950671672821045,3.26552677154541,3.5045228004455566,1.7367005348205566,1.8350704908370972,0.6724954843521118,0.6705782413482666,3.7377729415893555,3.8491878509521484,3.3605103492736816,3.4349846839904785,0.0,0.0,0.05000000074505806,0.0,0.0,0,0.0,0.009999999776482582,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0
1,2027,2.063037872314453,0.04812666401267052,0.44557124376296997,2.211954116821289,0.12728387117385864,2.384971857070923,0.19392451643943787,0.6352264285087585,2.4542040824890137,0.22292682528495789,2.5505387783050537,2.8090338706970215,0.7608474493026733,1.7635769844055176,0.7671705484390259,0.8337091207504272,2.673630714416504,2.9407215118408203,0.3877893090248108,0.7186848521232605,0.0,0.699999988079071,0.20999999344348907,0.0,0.5199999809265137,0,0.10999999940395355,0.05000000074505806,0.0,0.23000000417232513,0,0,0,0,0.009999999776482582,0,0,0,0.05999999865889549,0.009999999776482582
2,3041,1.1326900720596313,0.012463867664337158,0.2802315056324005,0.7222106456756592,0.07497262209653854,1.699292778968811,0.06078331172466278,0.4288439154624939,1.2092585563659668,0.10092904418706894,1.8894679546356201,2.0483274459838867,0.3867221772670746,1.4110172986984253,0.49451637268066406,0.5707594156265259,1.5912022590637207,1.8830472230911255,0.21492108702659607,1.0711853504180908,0.09000000357627869,0.8600000143051147,0.4300000071525574,0.2800000011920929,0.7400000095367432,0,0.4699999988079071,0.14000000059604645,0.0,0.4699999988079071,0,0,0,0,0.05000000074505806,0,0,0,0.1899999976158142,0.0
3,4055,0.8584302663803101,0.04110139235854149,0.18039685487747192,0.47428762912750244,0.05823401361703873,1.4858450889587402,0.06056941673159599,0.4820637106895447,0.7546682953834534,0.14705020189285278,1.9166396856307983,2.6405348777770996,0.5979964137077332,1.222872257232666,0.6019843816757202,1.502973198890686,1.4354248046875,2.487384080886841,0.3060871362686157,0.8572396039962769,0.23000000417232513,0.8399999737739563,0.6399999856948853,0.44999998807907104,0.7200000286102295,0,0.6399999856948853,0.09000000357627869,0.03999999910593033,0.41999998688697815,0,0,0,0,0.019999999552965164,0,0,0,0.15000000596046448,0.0
