,name,task,n_embd,train_size,seed,trainer/global_step,val_loss/add_in_dist,val_loss/ali_in_dist,val_loss/car_in_dist,val_loss/mad_in_dist,val_loss/rev_in_dist,val_loss/add_ood_8digit,val_loss/ali_ood_8digit,val_loss/car_ood_8digit,val_loss/mad_ood_8digit,val_loss/rev_ood_8digit,val_loss/add_ood_10digit,val_loss/add_ood_11digit,val_loss/ali_ood_10digit,val_loss/ali_ood_11digit,val_loss/car_ood_10digit,val_loss/car_ood_11digit,val_loss/mad_ood_10digit,val_loss/mad_ood_11digit,val_loss/rev_ood_10digit,val_loss/rev_ood_11digit,val_acc/add_in_dist,val_acc/ali_in_dist,val_acc/car_in_dist,val_acc/mad_in_dist,val_acc/rev_in_dist,val_acc/add_ood_8digit,val_acc/ali_ood_8digit,val_acc/car_ood_8digit,val_acc/mad_ood_8digit,val_acc/rev_ood_8digit,val_acc/add_ood_10digit,val_acc/add_ood_11digit,val_acc/ali_ood_10digit,val_acc/ali_ood_11digit,val_acc/car_ood_10digit,val_acc/car_ood_11digit,val_acc/mad_ood_10digit,val_acc/mad_ood_11digit,val_acc/rev_ood_10digit,val_acc/rev_ood_11digit
tdec_1088embd_add_1000000_s1,tdec_1088embd_add_1000000_s1,add,1088,1000000,1,30003,0.0002832592581398785,,,,,0.4337242543697357,,,,,4.818735599517822,8.831287384033203,,,,,,,,,1.0,,,,,0.25999999046325684,,,,,0.0,0,,,,,,,,
tdec_448embd_add_10000_s2,tdec_448embd_add_10000_s2,add,448,10000,2,31999,0.8068002462387085,,,,,2.750823736190796,,,,,5.321247100830078,6.801258563995361,,,,,,,,,0.6100000143051147,,,,,0,,,,,0,0,,,,,,,,
tdec_640embd_add_100000_s3,tdec_640embd_add_100000_s3,add,640,100000,3,31999,3.826251941063674e-06,,,,,0.6394919157028198,,,,,3.5213680267333984,4.322397232055664,,,,,,,,,1.0,,,,,0.11999999731779099,,,,,0,0,,,,,,,,
tdec_768embd_add_1000000_s1,tdec_768embd_add_1000000_s1,add,768,1000000,1,31999,0.22091171145439148,,,,,0.5760320425033569,,,,,0.9771740436553955,1.3362764120101929,,,,,,,,,0.5799999833106995,,,,,0.019999999552965164,,,,,0,0,,,,,,,,
tdec_640embd_add_100000_s2,tdec_640embd_add_100000_s2,add,640,100000,2,31999,1.2724236512440257e-05,,,,,0.9272819757461548,,,,,4.970767974853516,6.7389912605285645,,,,,,,,,1.0,,,,,0.029999999329447746,,,,,0,0,,,,,,,,
tdec_768embd_mix_100000_s1,tdec_768embd_mix_100000_s1,mix,768,100000,1,31999,7.096954504959285e-06,6.0283436020824865e-09,2.680342277017189e-07,2.297756935831785e-07,3.117465610102954e-07,0.5101956725120544,0.8520435094833374,0.5624232292175293,0.9153105020523071,0.02172132022678852,4.102951526641846,5.261831283569336,1.9363254308700562,3.025064468383789,2.547713279724121,4.223132133483887,4.238745212554932,5.591090202331543,2.056804656982422,8.131621360778809,1.0,1.0,1.0,1.0,1.0,0.15000000596046448,0.0,0.23000000417232513,0.03999999910593033,0.9200000166893005,0,0,0,0,0.0,0.0,0,0,0.0,0.0
tdec_1344embd_add_10000000_s1,tdec_1344embd_add_10000000_s1,add,1344,10000000,1,30000,0.0016673820791766047,,,,,4.189228057861328,,,,,6.639430522918701,9.971975326538086,,,,,,,,,0.9900000095367432,,,,,0.07000000029802322,,,,,0,0,,,,,,,,
tdec_576embd_add_10000000_s1,tdec_576embd_add_10000000_s1,add,576,10000000,1,31999,1.2871464605268557e-06,,,,,0.27571994066238403,,,,,3.456947088241577,4.1353559494018555,,,,,,,,,1.0,,,,,0.2199999988079071,,,,,0,0,,,,,,,,
tdec_896embd_add_1000000_s1,tdec_896embd_add_1000000_s1,add,896,1000000,1,31999,0.0047376276925206184,,,,,0.6673262715339661,,,,,4.581929683685303,7.644570350646973,,,,,,,,,0.9300000071525574,,,,,0.23000000417232513,,,,,0,0,,,,,,,,
tdec_1088embd_mix_100000_s1,tdec_1088embd_mix_100000_s1,mix,1088,100000,1,31999,0.00016214999777730554,1.7181960743073432e-08,2.2559252101927996e-06,9.396178057841098e-08,1.3739779660681961e-06,0.6193277835845947,0.28051578998565674,1.26227605342865,1.1701421737670898,0.2183542251586914,5.171270370483398,7.086201190948486,1.9811025857925415,3.3520917892456055,2.8477141857147217,4.742547988891602,4.604839324951172,6.655908584594727,4.340258598327637,13.182621955871582,1.0,1.0,1.0,1.0,1.0,0.11999999731779099,0.019999999552965164,0.17000000178813934,0.03999999910593033,0.6200000047683716,0,0,0,0,0.0,0.0,0,0,0.0,0
tdec_640embd_mix_10000_s2,tdec_640embd_mix_10000_s2,mix,640,10000,2,31999,0.424556702375412,1.3237313112313132e-07,0.0003557841118890792,0.0016786974156275392,0.00936612207442522,2.2823452949523926,1.3018035888671875,1.4809778928756714,2.072564125061035,0.12917488813400269,5.173348903656006,7.034793853759766,1.8319810628890991,2.886223554611206,2.446915626525879,4.134121894836426,4.591607570648193,7.280515670776367,1.5834847688674927,6.782352924346924,0.6600000262260437,1.0,0.9900000095367432,0.9700000286102295,0.9700000286102295,0.0,0.0,0.10000000149011612,0.0,0.6600000262260437,0,0,0,0,0.019999999552965164,0.0,0,0,0.0,0
tdec_768embd_add_100000_s1,tdec_768embd_add_100000_s1,add,768,100000,1,31999,0.6203902959823608,,,,,1.1110049486160278,,,,,1.3229745626449585,1.4228248596191406,,,,,,,,,0.18000000715255737,,,,,0,,,,,0,0,,,,,,,,
tdec_1472embd_add_10000000_s1,tdec_1472embd_add_10000000_s1,add,1472,10000000,1,31000,6.369516086124349e-06,,,,,0.018861448392271996,,,,,4.556414604187012,6.227992534637451,,,,,,,,,1.0,,,,,0.9200000166893005,,,,,0,0,,,,,,,,
tdec_1344embd_mix_1000000_s1,tdec_1344embd_mix_1000000_s1,mix,1344,1000000,1,31999,1.666402795308386e-06,1.1351804829473622e-08,1.3568350709647348e-07,3.628900913099642e-07,3.2732233989918313e-07,0.15322962403297424,0.2704271972179413,0.05731084197759628,0.017222287133336067,0.05833645910024643,5.347682476043701,8.481103897094727,1.607210636138916,2.8034164905548096,2.792283535003662,4.710907936096191,5.093932628631592,7.4381422996521,4.112270355224609,11.32776165008545,1.0,1.0,1.0,1.0,1.0,0.4699999988079071,0.05000000074505806,0.7599999904632568,0.8899999856948853,0.7099999785423279,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
tdec_640embd_add_10000_s3,tdec_640embd_add_10000_s3,add,640,10000,3,31999,0.5442613363265991,,,,,2.8009674549102783,,,,,5.225905895233154,6.5482892990112305,,,,,,,,,0.7400000095367432,,,,,0.0,,,,,0,0,,,,,,,,
tdec_576embd_mix_1000000_s1,tdec_576embd_mix_1000000_s1,mix,576,1000000,1,31999,1.0617372936394531e-06,9.047838034348388e-09,1.0910083574344753e-06,2.848978510883171e-07,1.3078167171443056e-07,0.6563074588775635,0.6347159743309021,0.6179749965667725,0.5610151886940002,0.0024844303261488676,4.4465131759643555,5.346749782562256,2.1441490650177,3.445549964904785,2.455756187438965,3.8575758934020996,4.450712203979492,5.3194169998168945,5.785333633422852,11.524494171142578,1.0,1.0,1.0,1.0,1.0,0.019999999552965164,0.0,0.07999999821186066,0.07000000029802322,0.9900000095367432,0,0,0,0,0.009999999776482582,0,0.0,0,0.0,0
tdec_1280embd_add_10000_s1,tdec_1280embd_add_10000_s1,add,1280,10000,1,31659,0.00874695461243391,,,,,0.3266380727291107,,,,,8.346759796142578,14.717680931091309,,,,,,,,,0.9800000190734863,,,,,0.3799999952316284,,,,,0,0,,,,,,,,
tdec_640embd_add_10000_s2,tdec_640embd_add_10000_s2,add,640,10000,2,31999,0.05647065117955208,,,,,2.07250714302063,,,,,4.3493194580078125,6.186132907867432,,,,,,,,,0.8999999761581421,,,,,0.0,,,,,0,0,,,,,,,,
tdec_1344embd_add_1000000_s1,tdec_1344embd_add_1000000_s1,add,1344,1000000,1,30003,1.4923657178878784,,,,,1.7413382530212402,,,,,1.833225131034851,1.8783973455429077,,,,,,,,,0,,,,,0,,,,,0,0,,,,,,,,
