"Step","nanogpt - test_acc_1digit","nanogpt - test_acc_1digit__MIN","nanogpt - test_acc_1digit__MAX","nanogpt - test_acc_3digit","nanogpt - test_acc_3digit__MIN","nanogpt - test_acc_3digit__MAX","nanogpt - test_acc_5digit","nanogpt - test_acc_5digit__MIN","nanogpt - test_acc_5digit__MAX","nanogpt - test_acc_2digit","nanogpt - test_acc_2digit__MIN","nanogpt - test_acc_2digit__MAX","nanogpt - test_acc_4digit","nanogpt - test_acc_4digit__MIN","nanogpt - test_acc_4digit__MAX","nanogpt - test_acc_6digit","nanogpt - test_acc_6digit__MIN","nanogpt - test_acc_6digit__MAX","nanogpt - test_acc_7digit","nanogpt - test_acc_7digit__MIN","nanogpt - test_acc_7digit__MAX","nanogpt - test_acc_8digit","nanogpt - test_acc_8digit__MIN","nanogpt - test_acc_8digit__MAX"
"1340","0.5799999833106995","0.5799999833106995","0.5799999833106995","0.7699999809265137","0.7699999809265137","0.7699999809265137","0.20999999344348907","0.20999999344348907","0.20999999344348907","0.8500000238418579","0.8500000238418579","0.8500000238418579","0.44999998807907104","0.44999998807907104","0.44999998807907104","0.03999999910593033","0.03999999910593033","0.03999999910593033","0","0","0","0","0","0"
"1440","0.46000000834465027","0.46000000834465027","0.46000000834465027","0.6299999952316284","0.6299999952316284","0.6299999952316284","0.14000000059604645","0.14000000059604645","0.14000000059604645","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.4300000071525574","0.4300000071525574","0.4300000071525574","0.15000000596046448","0.15000000596046448","0.15000000596046448","0","0","0","0","0","0"
"1540","0.5400000214576721","0.5400000214576721","0.5400000214576721","0.8199999928474426","0.8199999928474426","0.8199999928474426","0.5099999904632568","0.5099999904632568","0.5099999904632568","0.8799999952316284","0.8799999952316284","0.8799999952316284","0.6299999952316284","0.6299999952316284","0.6299999952316284","0.12999999523162842","0.12999999523162842","0.12999999523162842","0.05999999865889549","0.05999999865889549","0.05999999865889549","0","0","0"
"1640","0.5600000023841858","0.5600000023841858","0.5600000023841858","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.3499999940395355","0.3499999940395355","0.3499999940395355","0.800000011920929","0.800000011920929","0.800000011920929","0.5199999809265137","0.5199999809265137","0.5199999809265137","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0"
"1740","0.800000011920929","0.800000011920929","0.800000011920929","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.49000000953674316","0.49000000953674316","0.49000000953674316","0.9100000262260437","0.9100000262260437","0.9100000262260437","0.6299999952316284","0.6299999952316284","0.6299999952316284","0.23000000417232513","0.23000000417232513","0.23000000417232513","0.05000000074505806","0.05000000074505806","0.05000000074505806","0","0","0"
"1840","0.8700000047683716","0.8700000047683716","0.8700000047683716","0.9300000071525574","0.9300000071525574","0.9300000071525574","0.5400000214576721","0.5400000214576721","0.5400000214576721","0.949999988079071","0.949999988079071","0.949999988079071","0.8600000143051147","0.8600000143051147","0.8600000143051147","0.3100000023841858","0.3100000023841858","0.3100000023841858","0.07000000029802322","0.07000000029802322","0.07000000029802322","0","0","0"
"1940","0.8199999928474426","0.8199999928474426","0.8199999928474426","0.9100000262260437","0.9100000262260437","0.9100000262260437","0.6899999976158142","0.6899999976158142","0.6899999976158142","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.8500000238418579","0.8500000238418579","0.8500000238418579","0.49000000953674316","0.49000000953674316","0.49000000953674316","0.23999999463558197","0.23999999463558197","0.23999999463558197","0","0","0"
"2040","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.9300000071525574","0.9300000071525574","0.9300000071525574","0.6899999976158142","0.6899999976158142","0.6899999976158142","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.8600000143051147","0.8600000143051147","0.8600000143051147","0.5","0.5","0.5","0.25999999046325684","0.25999999046325684","0.25999999046325684","0","0","0"
"2140","0.6200000047683716","0.6200000047683716","0.6200000047683716","0.9599999785423279","0.9599999785423279","0.9599999785423279","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.8600000143051147","0.8600000143051147","0.8600000143051147","0.5400000214576721","0.5400000214576721","0.5400000214576721","0.25999999046325684","0.25999999046325684","0.25999999046325684","0","0","0"
"2240","0.9100000262260437","0.9100000262260437","0.9100000262260437","1","1","1","0.800000011920929","0.800000011920929","0.800000011920929","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.8899999856948853","0.8899999856948853","0.8899999856948853","0.6200000047683716","0.6200000047683716","0.6200000047683716","0.3100000023841858","0.3100000023841858","0.3100000023841858","0","0","0"
"2340","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","0.7699999809265137","0.7699999809265137","0.7699999809265137","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.9200000166893005","0.9200000166893005","0.9200000166893005","0.6100000143051147","0.6100000143051147","0.6100000143051147","0.3400000035762787","0.3400000035762787","0.3400000035762787","0","0","0"
"2440","0.9399999976158142","0.9399999976158142","0.9399999976158142","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.8299999833106995","0.8299999833106995","0.8299999833106995","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.9300000071525574","0.9300000071525574","0.9300000071525574","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.3400000035762787","0.3400000035762787","0.3400000035762787","0","0","0"
"2540","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.8600000143051147","0.8600000143051147","0.8600000143051147","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.949999988079071","0.949999988079071","0.949999988079071","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.36000001430511475","0.36000001430511475","0.36000001430511475","0","0","0"
"2640","0.8999999761581421","0.8999999761581421","0.8999999761581421","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.8700000047683716","0.8700000047683716","0.8700000047683716","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9399999976158142","0.9399999976158142","0.9399999976158142","0.6700000166893005","0.6700000166893005","0.6700000166893005","0.36000001430511475","0.36000001430511475","0.36000001430511475","0","0","0"
"2740","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.8899999856948853","0.8899999856948853","0.8899999856948853","1","1","1","0.9399999976158142","0.9399999976158142","0.9399999976158142","0.6700000166893005","0.6700000166893005","0.6700000166893005","0.4300000071525574","0.4300000071525574","0.4300000071525574","0","0","0"
"2840","0.9700000286102295","0.9700000286102295","0.9700000286102295","1","1","1","0.8299999833106995","0.8299999833106995","0.8299999833106995","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.9100000262260437","0.9100000262260437","0.9100000262260437","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.3199999928474426","0.3199999928474426","0.3199999928474426","0","0","0"
"2940","0.9700000286102295","0.9700000286102295","0.9700000286102295","1","1","1","0.9300000071525574","0.9300000071525574","0.9300000071525574","1","1","1","0.9399999976158142","0.9399999976158142","0.9399999976158142","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.41999998688697815","0.41999998688697815","0.41999998688697815","0","0","0"
"3040","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.8600000143051147","0.8600000143051147","0.8600000143051147","1","1","1","0.949999988079071","0.949999988079071","0.949999988079071","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.33000001311302185","0.33000001311302185","0.33000001311302185","0","0","0"
"3140","0.949999988079071","0.949999988079071","0.949999988079071","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.8700000047683716","0.8700000047683716","0.8700000047683716","1","1","1","0.9599999785423279","0.9599999785423279","0.9599999785423279","0.6499999761581421","0.6499999761581421","0.6499999761581421","0.3100000023841858","0.3100000023841858","0.3100000023841858","0","0","0"
"3240","0.9599999785423279","0.9599999785423279","0.9599999785423279","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.8600000143051147","0.8600000143051147","0.8600000143051147","1","1","1","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.4099999964237213","0.4099999964237213","0.4099999964237213","0","0","0"
"3340","1","1","1","1","1","1","0.9300000071525574","0.9300000071525574","0.9300000071525574","1","1","1","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.75","0.75","0.75","0.44999998807907104","0.44999998807907104","0.44999998807907104","0","0","0"
"3440","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9399999976158142","0.9399999976158142","0.9399999976158142","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.800000011920929","0.800000011920929","0.800000011920929","0.5","0.5","0.5","0","0","0"
"3540","1","1","1","1","1","1","0.9100000262260437","0.9100000262260437","0.9100000262260437","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0"
"3640","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9100000262260437","0.9100000262260437","0.9100000262260437","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.36000001430511475","0.36000001430511475","0.36000001430511475","0","0","0"
"3740","0.9700000286102295","0.9700000286102295","0.9700000286102295","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.4399999976158142","0.4399999976158142","0.4399999976158142","0","0","0"
"3840","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9399999976158142","0.9399999976158142","0.9399999976158142","1","1","1","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.5","0.5","0.5","0","0","0"
"3940","1","1","1","1","1","1","0.949999988079071","0.949999988079071","0.949999988079071","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.699999988079071","0.699999988079071","0.699999988079071","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0"
"4040","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","1","1","1","0.7699999809265137","0.7699999809265137","0.7699999809265137","0.49000000953674316","0.49000000953674316","0.49000000953674316","0","0","0"
"4140","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9100000262260437","0.9100000262260437","0.9100000262260437","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.699999988079071","0.699999988079071","0.699999988079071","0.4399999976158142","0.4399999976158142","0.4399999976158142","0","0","0"
"4240","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9599999785423279","0.9599999785423279","0.9599999785423279","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.699999988079071","0.699999988079071","0.699999988079071","0.38999998569488525","0.38999998569488525","0.38999998569488525","0","0","0"
"4340","0.9700000286102295","0.9700000286102295","0.9700000286102295","1","1","1","0.9300000071525574","0.9300000071525574","0.9300000071525574","1","1","1","1","1","1","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.4699999988079071","0.4699999988079071","0.4699999988079071","0","0","0"
"4440","0.9100000262260437","0.9100000262260437","0.9100000262260437","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.4399999976158142","0.4399999976158142","0.4399999976158142","0","0","0"
"4540","0.9599999785423279","0.9599999785423279","0.9599999785423279","1","1","1","0.949999988079071","0.949999988079071","0.949999988079071","1","1","1","1","1","1","0.7699999809265137","0.7699999809265137","0.7699999809265137","0.5199999809265137","0.5199999809265137","0.5199999809265137","0","0","0"
"4640","0.9599999785423279","0.9599999785423279","0.9599999785423279","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.7699999809265137","0.7699999809265137","0.7699999809265137","0.46000000834465027","0.46000000834465027","0.46000000834465027","0","0","0"
"4740","1","1","1","1","1","1","0.949999988079071","0.949999988079071","0.949999988079071","1","1","1","1","1","1","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.47999998927116394","0.47999998927116394","0.47999998927116394","0","0","0"
"4840","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.949999988079071","0.949999988079071","0.949999988079071","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.4099999964237213","0.4099999964237213","0.4099999964237213","0","0","0"
"4940","0.9399999976158142","0.9399999976158142","0.9399999976158142","0.949999988079071","0.949999988079071","0.949999988079071","0.9599999785423279","0.9599999785423279","0.9599999785423279","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.75","0.75","0.75","0.4399999976158142","0.4399999976158142","0.4399999976158142","0","0","0"
"5040","0.9700000286102295","0.9700000286102295","0.9700000286102295","1","1","1","0.949999988079071","0.949999988079071","0.949999988079071","1","1","1","1","1","1","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.49000000953674316","0.49000000953674316","0.49000000953674316","0","0","0"
"5140","1","1","1","1","1","1","0.9399999976158142","0.9399999976158142","0.9399999976158142","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0"
"5240","1","1","1","1","1","1","0.8999999761581421","0.8999999761581421","0.8999999761581421","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.5099999904632568","0.5099999904632568","0.5099999904632568","0","0","0"
"5340","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9300000071525574","0.9300000071525574","0.9300000071525574","1","1","1","1","1","1","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.44999998807907104","0.44999998807907104","0.44999998807907104","0","0","0"
"5440","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9399999976158142","0.9399999976158142","0.9399999976158142","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.4399999976158142","0.4399999976158142","0.4399999976158142","0","0","0"
"5540","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.44999998807907104","0.44999998807907104","0.44999998807907104","0","0","0"
"5640","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9100000262260437","0.9100000262260437","0.9100000262260437","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.46000000834465027","0.46000000834465027","0.46000000834465027","0","0","0"
"5740","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9599999785423279","0.9599999785423279","0.9599999785423279","1","1","1","1","1","1","0.699999988079071","0.699999988079071","0.699999988079071","0.4699999988079071","0.4699999988079071","0.4699999988079071","0","0","0"
"5840","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","1","1","1","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.44999998807907104","0.44999998807907104","0.44999998807907104","0","0","0"
"5940","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.8999999761581421","0.8999999761581421","0.8999999761581421","1","1","1","1","1","1","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.4399999976158142","0.4399999976158142","0.4399999976158142","0","0","0"
"6040","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.9100000262260437","0.9100000262260437","0.9100000262260437","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.46000000834465027","0.46000000834465027","0.46000000834465027","0","0","0"
"6140","1","1","1","1","1","1","0.9300000071525574","0.9300000071525574","0.9300000071525574","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.4699999988079071","0.4699999988079071","0.4699999988079071","0","0","0"
"6240","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.8899999856948853","0.8899999856948853","0.8899999856948853","1","1","1","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.5","0.5","0.5","0","0","0"
"6340","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9100000262260437","0.9100000262260437","0.9100000262260437","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.46000000834465027","0.46000000834465027","0.46000000834465027","0","0","0"
"6440","0.949999988079071","0.949999988079071","0.949999988079071","1","1","1","0.9300000071525574","0.9300000071525574","0.9300000071525574","1","1","1","1","1","1","0.6800000071525574","0.6800000071525574","0.6800000071525574","0.4300000071525574","0.4300000071525574","0.4300000071525574","0","0","0"
"6540","0.9700000286102295","0.9700000286102295","0.9700000286102295","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.4699999988079071","0.4699999988079071","0.4699999988079071","0","0","0"
"6640","0.9599999785423279","0.9599999785423279","0.9599999785423279","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","1","1","1","0.6899999976158142","0.6899999976158142","0.6899999976158142","0.4399999976158142","0.4399999976158142","0.4399999976158142","0","0","0"
"6740","1","1","1","1","1","1","0.9300000071525574","0.9300000071525574","0.9300000071525574","1","1","1","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.44999998807907104","0.44999998807907104","0.44999998807907104","0","0","0"
"6840","0.9700000286102295","0.9700000286102295","0.9700000286102295","1","1","1","0.8799999952316284","0.8799999952316284","0.8799999952316284","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.4300000071525574","0.4300000071525574","0.4300000071525574","0","0","0"
"6940","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0"
"7040","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.9300000071525574","0.9300000071525574","0.9300000071525574","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.4099999964237213","0.4099999964237213","0.4099999964237213","0","0","0"
"7140","0.9700000286102295","0.9700000286102295","0.9700000286102295","1","1","1","0.9399999976158142","0.9399999976158142","0.9399999976158142","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.46000000834465027","0.46000000834465027","0.46000000834465027","0","0","0"
"7240","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.9599999785423279","0.9599999785423279","0.9599999785423279","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.46000000834465027","0.46000000834465027","0.46000000834465027","0","0","0"
"7340","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.9100000262260437","0.9100000262260437","0.9100000262260437","1","1","1","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.4099999964237213","0.4099999964237213","0.4099999964237213","0","0","0"
"7440","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","1","1","1","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.4399999976158142","0.4399999976158142","0.4399999976158142","0","0","0"
"7540","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9300000071525574","0.9300000071525574","0.9300000071525574","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.46000000834465027","0.46000000834465027","0.46000000834465027","0","0","0"
"7640","0.9599999785423279","0.9599999785423279","0.9599999785423279","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.4399999976158142","0.4399999976158142","0.4399999976158142","0","0","0"
"7740","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.8999999761581421","0.8999999761581421","0.8999999761581421","1","1","1","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.4300000071525574","0.4300000071525574","0.4300000071525574","0","0","0"
"7840","1","1","1","1","1","1","0.9300000071525574","0.9300000071525574","0.9300000071525574","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.4399999976158142","0.4399999976158142","0.4399999976158142","0","0","0"
"7940","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.8899999856948853","0.8899999856948853","0.8899999856948853","1","1","1","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.4300000071525574","0.4300000071525574","0.4300000071525574","0","0","0"
"8040","1","1","1","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.699999988079071","0.699999988079071","0.699999988079071","0.44999998807907104","0.44999998807907104","0.44999998807907104","0","0","0"
"8140","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9200000166893005","0.9200000166893005","0.9200000166893005","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0"
"8240","0.9800000190734863","0.9800000190734863","0.9800000190734863","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","1","1","1","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.44999998807907104","0.44999998807907104","0.44999998807907104","0","0","0"
"8340","0.9900000095367432","0.9900000095367432","0.9900000095367432","1","1","1","0.9200000166893005","0.9200000166893005","0.9200000166893005","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.4099999964237213","0.4099999964237213","0.4099999964237213","0","0","0"
"8440","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9399999976158142","0.9399999976158142","0.9399999976158142","1","1","1","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.75","0.75","0.75","0.46000000834465027","0.46000000834465027","0.46000000834465027","0","0","0"
"8540","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9399999976158142","0.9399999976158142","0.9399999976158142","1","1","1","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.4000000059604645","0.4000000059604645","0.4000000059604645","0","0","0"
