"Step","universal_transformer_3_steps - test_acc_1digit","universal_transformer_3_steps - test_acc_1digit__MIN","universal_transformer_3_steps - test_acc_1digit__MAX","universal_transformer_3_steps - test_acc_3digit","universal_transformer_3_steps - test_acc_3digit__MIN","universal_transformer_3_steps - test_acc_3digit__MAX","universal_transformer_3_steps - test_acc_5digit","universal_transformer_3_steps - test_acc_5digit__MIN","universal_transformer_3_steps - test_acc_5digit__MAX","universal_transformer_3_steps - test_acc_2digit","universal_transformer_3_steps - test_acc_2digit__MIN","universal_transformer_3_steps - test_acc_2digit__MAX","universal_transformer_3_steps - test_acc_4digit","universal_transformer_3_steps - test_acc_4digit__MIN","universal_transformer_3_steps - test_acc_4digit__MAX","universal_transformer_3_steps - test_acc_6digit","universal_transformer_3_steps - test_acc_6digit__MIN","universal_transformer_3_steps - test_acc_6digit__MAX","universal_transformer_3_steps - test_acc_7digit","universal_transformer_3_steps - test_acc_7digit__MIN","universal_transformer_3_steps - test_acc_7digit__MAX","universal_transformer_3_steps - test_acc_8digit","universal_transformer_3_steps - test_acc_8digit__MIN","universal_transformer_3_steps - test_acc_8digit__MAX"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","0.019999999552965164","0.019999999552965164","0.019999999552965164","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"240","0.07000000029802322","0.07000000029802322","0.07000000029802322","0","0","0","0","0","0","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0","0","0","0","0","0","0","0","0"
"340","0.05999999865889549","0.05999999865889549","0.05999999865889549","0","0","0","0","0","0","0","0","0","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0","0","0","0","0","0"
"440","0.17000000178813934","0.17000000178813934","0.17000000178813934","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"540","0.05999999865889549","0.05999999865889549","0.05999999865889549","0","0","0","0","0","0","0.03999999910593033","0.03999999910593033","0.03999999910593033","0","0","0","0.009999999776482582","0.009999999776482582","0.009999999776482582","0","0","0","0","0","0"
"640","0.1899999976158142","0.1899999976158142","0.1899999976158142","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.029999999329447746","0.029999999329447746","0.029999999329447746","0.03999999910593033","0.03999999910593033","0.03999999910593033","0.07000000029802322","0.07000000029802322","0.07000000029802322","0.019999999552965164","0.019999999552965164","0.019999999552965164","0","0","0","0","0","0"
"740","0.17000000178813934","0.17000000178813934","0.17000000178813934","0.4099999964237213","0.4099999964237213","0.4099999964237213","0.10000000149011612","0.10000000149011612","0.10000000149011612","0.23999999463558197","0.23999999463558197","0.23999999463558197","0.15000000596046448","0.15000000596046448","0.15000000596046448","0.03999999910593033","0.03999999910593033","0.03999999910593033","0.019999999552965164","0.019999999552965164","0.019999999552965164","0","0","0"
"840","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.5099999904632568","0.5099999904632568","0.5099999904632568","0.3199999928474426","0.3199999928474426","0.3199999928474426","0.41999998688697815","0.41999998688697815","0.41999998688697815","0.4300000071525574","0.4300000071525574","0.4300000071525574","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.03999999910593033","0.03999999910593033","0.03999999910593033","0","0","0"
"940","0.6800000071525574","0.6800000071525574","0.6800000071525574","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.47999998927116394","0.47999998927116394","0.47999998927116394","0.6800000071525574","0.6800000071525574","0.6800000071525574","0.6499999761581421","0.6499999761581421","0.6499999761581421","0.41999998688697815","0.41999998688697815","0.41999998688697815","0.09000000357627869","0.09000000357627869","0.09000000357627869","0","0","0"
"1040","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.9300000071525574","0.9300000071525574","0.9300000071525574","0.75","0.75","0.75","0.8500000238418579","0.8500000238418579","0.8500000238418579","0.8799999952316284","0.8799999952316284","0.8799999952316284","0.6100000143051147","0.6100000143051147","0.6100000143051147","0.25","0.25","0.25","0","0","0"
"1140","0.47999998927116394","0.47999998927116394","0.47999998927116394","0.949999988079071","0.949999988079071","0.949999988079071","0.75","0.75","0.75","0.8600000143051147","0.8600000143051147","0.8600000143051147","0.8700000047683716","0.8700000047683716","0.8700000047683716","0.7099999785423279","0.7099999785423279","0.7099999785423279","0.28999999165534973","0.28999999165534973","0.28999999165534973","0","0","0"
"1240","0.8999999761581421","0.8999999761581421","0.8999999761581421","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.8700000047683716","0.8700000047683716","0.8700000047683716","0.9599999785423279","0.9599999785423279","0.9599999785423279","0.949999988079071","0.949999988079071","0.949999988079071","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.4699999988079071","0.4699999988079071","0.4699999988079071","0","0","0"
"1340","0.8899999856948853","0.8899999856948853","0.8899999856948853","0.9700000286102295","0.9700000286102295","0.9700000286102295","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9599999785423279","0.9599999785423279","0.9599999785423279","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.8799999952316284","0.8799999952316284","0.8799999952316284","0.6299999952316284","0.6299999952316284","0.6299999952316284","0","0","0"
"1440","0.9599999785423279","0.9599999785423279","0.9599999785423279","1","1","1","0.9800000190734863","0.9800000190734863","0.9800000190734863","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.8799999952316284","0.8799999952316284","0.8799999952316284","0.6200000047683716","0.6200000047683716","0.6200000047683716","0","0","0"
"1540","0.9399999976158142","0.9399999976158142","0.9399999976158142","1","1","1","0.9599999785423279","0.9599999785423279","0.9599999785423279","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.9900000095367432","0.949999988079071","0.949999988079071","0.949999988079071","0.75","0.75","0.75","0","0","0"
